phone,is_valid
+1234567890,1
+6591234567,1
+14155552671,1
+442071838750,1
+81312345678,1
+33123456789,1
+61234567890,1
+86123456789,1
1234567890,1
91234567890,1
14155552671,1
(123) 456-7890,1
123-456-7890,1
123.456.7890,1
+1 (123) 456-7890,1
+65 9123 4567,1
+44 20 7183 8750,1
+1-415-555-2671,1
+86 131 2345 6789,1
+33 1 23 45 67 89,1
(415) 555-2671,1
415-555-2671,1
415.555.2671,1
4155552671,1
+1 415 555 2671,1
+12345678901,1
+123456789012,1
+1234567890123,1
+12345678901234,1
+123456789012345,1
+1,0
+12,0
+123,0
+1234,0
+12345,0
+123456,0
+1234567,0
123,0
1234,0
12345,0
123456,0
1234567,0
12,0
1,0
abc,0
test,0
hello123,0
phone,0
+abcdefghij,0
+1234567890abcd,0
123abc456,0
abc123def456,0
+1-abc-def-ghij,0
++1234567890,0
+++123,0
--1234567890,0
(123,0
123),0
((123)) 456-7890,0
+1 2 3 4 5 6 7 8 9 0,0
+ 1234567890,0
+  1234567890,0
,0
 ,0
+,0
++,0
+++,0
+1234567890123456,0
+12345678901234567,0
+123456789012345678,0
123456789012345678901234567890,0
+1234567890123456789012345,0
invalid,0
not a phone,0
000,0
0000000000,0
11111111111111111,0
+00000000000,0
+99999999999999999999,0
123 456,0
123-45,0
12-34-56,0
(12) 34,0
+1 (12) 34,0
+65 91,0
+44 20 71,0
+86 131 23,0
email@test.com,0
http://example.com,0
2023-01-01,0
$1234567890,0
#1234567890,0
@1234567890,0
!1234567890,0
%1234567890,0
^1234567890,0
&1234567890,0
*1234567890,0
+1234567890*123,0
+1234567890#456,0
